"","UP/DOWN","statistic","p.value","FDRp.value","path_name"
"P-hsa04010-117","DOWN",-2.52557481976039,0.011555331580822,0.0144134322111849,"MAPK signaling pathway: JUND"
"P-hsa04630-36","UP",2.48477046467923,0.0129683874411787,0.0161652457406321,"Jak-STAT signaling pathway: GFAP"
"P-hsa05211-43","UP",2.47805922206719,0.0132148921194193,0.0164615787623045,"Renal cell carcinoma: RAP1A"
"P-hsa04723-42","UP",2.45685169541317,0.0140212908949905,0.0174429321744046,"Retrograde endocannabinoid signaling: KCNJ3"
"P-hsa04723-50","UP",2.45685169541317,0.0140212908949905,0.0174429321744046,"Retrograde endocannabinoid signaling: KCNJ3*"
"P-hsa05132-6","DOWN",-2.45148270132354,0.0142322093546278,0.0176935883030363,"Salmonella infection: NFKB1"
"P-hsa04919-87","DOWN",-2.44718750605184,0.0144029545424688,0.0178940018024315,"Thyroid hormone signaling pathway: BAD"
"P-hsa04728-44","UP",2.44584525752943,0.014456681650604,0.0179488648421794,"Dopaminergic synapse: FOS"
"P-hsa04920-1","UP",2.44262386107566,0.0145863484140473,0.0180978767359475,"Adipocytokine signaling pathway: N-Acylsphingosine"
"P-hsa04211-50","UP",2.43322812141881,0.0149704181414683,0.0185621311522766,"Longevity regulating pathway - mammal: PPARGC1A*"
"P-hsa04670-55","UP",2.43081207407848,0.0150706076568763,0.0186740158284676,"Leukocyte transendothelial migration: RAC2"
"P-hsa03320-32","DOWN",-2.42785912732918,0.0151938631788128,0.0188143150649854,"PPAR signaling pathway: FABP3"
"P-hsa05200-193","DOWN",-2.4275906776247,0.015205112119792,0.0188158247603759,"Pathways in cancer: NOS2"
"P-hsa04152-30","UP",2.4219532338306,0.0154430398703957,0.019097655106699,"AMPK signaling pathway: ACACA"
"P-hsa04530-6 11 45","DOWN",-2.42087943501267,0.0154887291318453,0.0191415387689998,"Tight junction: CLDN24 TJP1 TJP2"
"P-hsa04670-15","UP",2.40799384919757,0.0160463337909357,0.0198175919629989,"Leukocyte transendothelial migration: PECAM1"
"P-hsa04924-30","DOWN",-2.39134996751972,0.0167926819209611,0.0207257047919231,"Renin secretion: PDE3A"
"P-hsa05219-21","UP",2.38275957697632,0.0171896785222862,0.0212017336671984,"Bladder cancer: RB1"
"P-hsa04310-22","DOWN",-2.37175313909259,0.0177103467014106,0.0218295732009503,"Wnt signaling pathway: ROCK2"
"P-hsa04510-26 4 5","UP",2.36665259470744,0.0179562831311949,0.0221181793526735,"Focal adhesion: ACTN4 ITGB1 ITGA11"
"P-hsa04024-62","DOWN",-2.35591460652819,0.0184838420059086,0.0227530758550424,"cAMP signaling pathway: BAD"
"P-hsa05213-11","UP",2.3414183224862,0.0192175374139938,0.0236407214351819,"Endometrial cancer: FOXO3"
"P-hsa05212-14","DOWN",-2.3384653757369,0.0193700762556046,0.0238127542958808,"Pancreatic cancer: MAPK1"
"P-hsa05211-12","UP",2.33524397928312,0.0195376878835551,0.0240030795478385,"Renal cell carcinoma: EGLN2"
"P-hsa05020-46","DOWN",-2.33470707987416,0.0195657459874258,0.0240218190264468,"Prion diseases: PRKACA"
"P-hsa04510-6 4 5","UP",2.32960653548902,0.0198340582202439,0.0243353127672842,"Focal adhesion: FLNA ITGB1 ITGA11"
