"","UP/DOWN","statistic","p.value","FDRp.value"
"P-hsa05030-76","UP",7.41780223422822,1.19200432658015e-13,3.25029086724471e-13
"P-hsa04917-48","UP",7.41753378452374,1.1944220336356e-13,3.25215636444179e-13
"P-hsa04668-47","DOWN",-7.41645998570581,1.20414114556172e-13,3.27386781025188e-13
"P-hsa04010-88 92","DOWN",-7.41243324013859,1.24128490314618e-13,3.36997174862841e-13
"P-hsa04621-4 7 8","DOWN",-7.40840649457137,1.27955401631655e-13,3.46884874943621e-13
"P-hsa05164-77","DOWN",-7.40572199752656,1.30570843760218e-13,3.53464506340793e-13
"P-hsa05221-13","UP",7.40142680225486,1.34865214066237e-13,3.64563604594036e-13
"P-hsa04723-10","DOWN",-7.39498400934731,1.41568220999069e-13,3.81583308325076e-13
"P-hsa04723-21","DOWN",-7.39498400934731,1.41568220999069e-13,3.81583308325076e-13
"P-hsa04015-100 101 48","UP",7.39229951230249,1.444567934683e-13,3.88810537369484e-13
"P-hsa04913-47","UP",7.38706474306511,1.50254333305929e-13,4.03257695682293e-13
"P-hsa04913-51","UP",7.38706474306511,1.50254333305929e-13,4.03257695682293e-13
"P-hsa04910-48","DOWN",-7.38424602116805,1.53474451780965e-13,4.11311530772986e-13
"P-hsa04360-122","UP",7.37914547678291,1.59469355636725e-13,4.2676820424322e-13
"P-hsa04961-12","UP",7.36894438801262,1.72157601912297e-13,4.60067893429444e-13
"P-hsa04710-23","UP",7.36867593830814,1.72504558948552e-13,4.60339335117331e-13
"P-hsa05231-50","DOWN",-7.34854221047204,2.00581471174894e-13,5.34504033983097e-13
"P-hsa04670-76","UP",7.34317321638241,2.08797665766863e-13,5.55609107771113e-13
"P-hsa05145-23","DOWN",-7.33807267199727,2.16908875668177e-13,5.76375425996458e-13
"P-hsa04024-24","UP",7.32787158322697,2.34070867532329e-13,6.21098935630339e-13
"P-hsa04623-9","DOWN",-7.32330793825079,2.42173975593922e-13,6.40787557424821e-13
"P-hsa05166-53 146","UP",7.32330793825079,2.42173975593922e-13,6.40787557424821e-13
"P-hsa05220-50","DOWN",-7.31095925184465,2.65507085006717e-13,7.015370302431e-13
"P-hsa04210-119","UP",7.3058587074595,2.75776744884715e-13,7.2764721997711e-13
"P-hsa05213-29","UP",7.28465118080548,3.22824875012133e-13,8.50589136970171e-13
"P-hsa05164-78","DOWN",-7.28196668376067,3.2931590921514e-13,8.66474958888644e-13
"P-hsa04110-46","UP",7.2728393938083,3.52358821715078e-13,9.25805531565106e-13
"P-hsa05205-22","DOWN",-7.27069179617245,3.58006690002721e-13,9.39329441181964e-13
"P-hsa05142-44","DOWN",-7.26210140562905,3.81500776899586e-13,9.99574661262045e-13
"P-hsa05168-122","DOWN",-7.25726931094838,3.95374807453015e-13,1.03448136510719e-12
"P-hsa03320-62","DOWN",-7.24948426951843,4.18776241764708e-13,1.09418416371949e-12
"P-hsa04152-89","DOWN",-7.24921581981394,4.19607062639975e-13,1.09483011058775e-12
"P-hsa04211-38","DOWN",-7.24733667188257,4.25467794072913e-13,1.10857997455665e-12
"P-hsa04621-28","DOWN",-7.24572597365569,4.30555197902725e-13,1.12027954405757e-12
"P-hsa05134-9","UP",7.24465217483776,4.33979936030975e-13,1.12762653738796e-12
"P-hsa04730-20","UP",7.23149813931818,4.78167100055687e-13,1.23900756865258e-12
"P-hsa04730-30","UP",7.23149813931818,4.78167100055687e-13,1.23900756865258e-12
"P-hsa04066-26","DOWN",-7.22773984345544,4.91583804975662e-13,1.27201547328875e-12
"P-hsa05168-79","UP",7.22183394995685,5.13417442829386e-13,1.3266819872561e-12
"P-hsa04660-34","UP",7.2210286008434,5.16467578845591e-13,1.33272789259192e-12
"P-hsa04115-52 53","UP",7.2167334055717,5.33037905510929e-13,1.37359767958586e-12
"P-hsa04620-40","DOWN",-7.21163286118656,5.53394024225506e-13,1.42409765356248e-12
"P-hsa04919-11","UP",7.20894836414174,5.64412361333447e-13,1.45046245186513e-12
"P-hsa04662-16","DOWN",-7.19284138187286,6.35190861660857e-13,1.63012046029517e-12
"P-hsa04933-28","DOWN",-7.18559323985187,6.69817665472215e-13,1.71663653063644e-12
"P-hsa05215-30","DOWN",-7.18317719251154,6.8176662008735e-13,1.74487609724948e-12
"P-hsa04662-24","DOWN",-7.1764659498995,7.16066901229837e-13,1.83016554047299e-12
"P-hsa04727-26","DOWN",-7.14210438772589,9.2002557363208e-13,2.33870999476122e-12
"P-hsa05032-81","DOWN",-7.14210438772589,9.2002557363208e-13,2.33870999476122e-12
"P-hsa05032-91","DOWN",-7.14210438772589,9.2002557363208e-13,2.33870999476122e-12
"P-hsa05032-85","DOWN",-7.14210438772589,9.2002557363208e-13,2.33870999476122e-12
"P-hsa04022-39","UP",7.14183593802141,9.21824720129882e-13,2.34011255069507e-12
"P-hsa04024-112","UP",7.1276081036839,1.02227665296629e-12,2.5916094607632e-12
"P-hsa05032-4","UP",7.09915243500888,1.25646255547e-12,3.18100371668248e-12
"P-hsa05161-78","DOWN",-7.08680374860274,1.37377908563724e-12,3.47332825425264e-12
"P-hsa04971-55","DOWN",-7.07982405628622,1.44477463809388e-12,3.64791012256274e-12
"P-hsa04270-28","DOWN",-7.07633421012796,1.48161007236489e-12,3.73588776311362e-12
"P-hsa04650-25","DOWN",-7.0441202455902,1.86816895622676e-12,4.70427511661932e-12
"P-hsa04210-62","UP",7.0384828017961,1.94531546759556e-12,4.89197294532074e-12
"P-hsa04010-79","DOWN",-7.03526140534232,1.99079333154216e-12,4.99963626502423e-12
"P-hsa05200-76","UP",7.02452341716307,2.1500472718798e-12,5.39236454819052e-12
"P-hsa05200-190","DOWN",-7.01593302661966,2.28638874224031e-12,5.72665591514394e-12
"P-hsa04390-89","UP",7.01432232839278,2.31288056659785e-12,5.78528525725008e-12
"P-hsa04152-58","UP",7.01136938164348,2.36223307698571e-12,5.90086451721064e-12
"P-hsa04024-9 95","UP",7.00761108578074,2.42654132436078e-12,6.05344617619791e-12
"P-hsa05134-71","DOWN",-7.00734263607626,2.43119991421099e-12,6.05701333208475e-12
"P-hsa04020-16","DOWN",-7.00063139346423,2.55055788251893e-12,6.34595038143967e-12
"P-hsa04510-24 69","DOWN",-6.99606774848805,2.63498460939936e-12,6.54732599633536e-12
"P-hsa04261-52","UP",6.99392015085219,2.67565732655787e-12,6.6395941066436e-12
"P-hsa04066-11","DOWN",-6.99284635203427,2.69622393372121e-12,6.68179141302641e-12
"P-hsa04727-13","DOWN",-6.97647092006091,3.02976137490223e-12,7.49845955054959e-12
"P-hsa04976-59","UP",6.97096770111904,3.15063029320921e-12,7.78732862985569e-12
"P-hsa05200-223","UP",6.96814897922199,3.21444523139866e-12,7.92417773206817e-12
"P-hsa05221-17","UP",6.96814897922199,3.21444523139866e-12,7.92417773206817e-12
"P-hsa04650-14","DOWN",-6.96492758276821,3.28886134694682e-12,8.0969867281788e-12
"P-hsa04810-8 79","UP",6.95123664783966,3.62442596435992e-12,8.89976846745969e-12
"P-hsa04810-8 82","UP",6.95123664783966,3.62442596435992e-12,8.89976846745969e-12
"P-hsa05012-71","UP",6.95043129872622,3.64517787105083e-12,8.93902442626322e-12
"P-hsa04066-5","DOWN",-6.92600237561842,4.3330989872011e-12,1.061213276761e-11
"P-hsa04950-22","UP",6.91553283714365,4.66549619801366e-12,1.14113049119604e-11
"P-hsa04115-43 57","UP",6.91365368921228,4.72774773342646e-12,1.15485087863386e-11
"P-hsa04972-42","DOWN",-6.91284834009883,4.7546755476598e-12,1.15991824803768e-11
"P-hsa05134-70","DOWN",-6.90882159453161,4.89158605419118e-12,1.19176823865749e-11
"P-hsa04071-66","DOWN",-6.9061370974868,4.98499889970293e-12,1.21248277222311e-11
"P-hsa04725-53","DOWN",-6.90600287263456,4.98953464902045e-12,1.21248277222311e-11
"P-hsa04922-59","DOWN",-6.90211035191958,5.12840554694726e-12,1.24461692187232e-11
"P-hsa05231-18","DOWN",-6.9018419022151,5.13810847187293e-12,1.24536065804052e-11
"P-hsa05120-53","DOWN",-6.89781515664788,5.28583000969312e-12,1.27951188363668e-11
"P-hsa04931-87","UP",6.86989638738182,6.43090311533443e-12,1.55468740262466e-11
"P-hsa04922-50","DOWN",-6.86506429270115,6.65238335930077e-12,1.60616102729064e-11
"P-hsa05152-90","DOWN",-6.86479584299667,6.66490460948714e-12,1.60711581586091e-11
"P-hsa05152-126","DOWN",-6.86425894358771,6.69001643847085e-12,1.61110023601686e-11
"P-hsa04340-14","DOWN",-6.85996374831601,6.89427715574679e-12,1.65816204412577e-11
"P-hsa04151-37","UP",6.85298405599949,7.2393070635949e-12,1.7389167799365e-11
"P-hsa05161-10","DOWN",-6.84761506190987,7.51617564011113e-12,1.80311323540262e-11
"P-hsa04660-40 41","UP",6.83016583111858,8.48959264491748e-12,2.03403266945916e-11
"P-hsa04921-76","DOWN",-6.82936048200514,8.53738357671168e-12,2.04287392728458e-11
"P-hsa04151-98","UP",6.82291768909758,8.92931997154574e-12,2.13393684925093e-11
"P-hsa04921-80","DOWN",-6.81137435180489,9.67609629765368e-12,2.30946013414737e-11
"P-hsa04152-24","UP",6.81110590210041,9.69417177888485e-12,2.31083434017636e-11
"P-hsa05200-215","DOWN",-6.80573690801078,1.00627074993849e-11,2.39563950112259e-11
"P-hsa05164-35","DOWN",-6.80439465948837,1.01569652081166e-11,2.41501479473089e-11
"P-hsa04550-47","DOWN",-6.79311977190016,1.09836387833923e-11,2.60826662754987e-11
"P-hsa04668-128","DOWN",-6.79070372455983,1.11691754730154e-11,2.64897259006029e-11
"P-hsa05221-35","DOWN",-6.78265023342539,1.18100770674575e-11,2.79743744678666e-11
